,Tweets,tweet_id,User,user_id,User_status_count,User_followers,User_friend_count,User_location,fav_count,rt_count,tweet_date,user_verified,User_friends_count
88,"RT @adam_tooze: ""“We wanted to look our customers in the eye and say we don’t do any manufacturing in China,” said an executive at one U.S.…",1286221767414091776,Ebuka Emebinah,735740965,21427,1420,,Nigeria,0,9,2020-07-23 08:49:00,False,4848.0
89,"See our latest #Docklands, VIC job and click to apply: OCS Project Manager - https://t.co/nRXm8a6LqU #IT",1286221644566900736,Ericsson Jobs,310299026,871,2658,,Global Jobs Listing,0,0,2020-07-23 08:48:31,False,0.0
90,RT @PedroClarke1: Vodafone UK Ericsson Dynamic Spectrum Sharing on 2100MHz Band 1 nearing release; MBSFN Subframe Configuration on L21 SIB2…,1286221568926859264,MischellG,21824354,2150,58,,Monnem Ahoi,0,2,2020-07-23 08:48:13,False,341.0
91,"RT @EricssonCareers: 🚨 The Ericsson Innovation Awards are back! 🚨

This year, #EIA2020 calls on university students worldwide to set major…",1286221497988780033,𝕸.,593007340,56521,1830,,,0,4,2020-07-23 08:47:56,False,874.0
92,Excited to share the news that Deutsche Telekom and Ericsson have strengthened their partnership with a #5G deal!… https://t.co/8cCsXN0wM8,1286220827176779777,Geoff Myatt,746743051809325057,723,131,,"Guildford, England",0,0,2020-07-23 08:45:16,False,184.0
93,Ericsson reports second quarter results 2020. #TeamEricsson https://t.co/WbOHq0ZjAn,1286220687846252545,Gerhard Schuller,701720085011030016,1352,46,,"Madrid, España",0,0,2020-07-23 08:44:43,False,69.0
94,RT @DanishKh4n: Meet the top leaders from the Telecom industry as they discuss the way forward in a post-Covid-19 World at #ETGlobalTownHal…,1286220667168292864,"Manoj Misra ,FCA",1039985484,428,50,,New Delhi,0,4,2020-07-23 08:44:38,False,234.0
95,"Don't submit then quit. Apply for jobs like ""Digital Product Owner - GCP Application Platform"" at Ericsson, then lo… https://t.co/z9Z79cTrWm",1286220629046259713,TMJ-SWE Jobs,42331308,733,564,,Sweden,0,0,2020-07-23 08:44:29,False,276.0
96,"RT @evazhengll: Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity agency…",1286220580224741377,کیپ راجرز (कप्तान),727993232,8199,160,,Guru Mandir,0,8,2020-07-23 08:44:17,False,102.0
97,RT @DanishKh4n: Meet the top leaders from the Telecom industry as they discuss the way forward in a post-Covid-19 World at #ETGlobalTownHal…,1286220559630495750,ETTelecom,81082366,65378,33344,,"Film City, Noida",0,4,2020-07-23 08:44:12,True,8.0
98,There's virtually no societal or industrial communication need that #5G can’t meet. That's why it's crucial for the… https://t.co/fMg9urMVah,1286220517066727424,Gerhard Schuller,701720085011030016,1352,46,,"Madrid, España",0,0,2020-07-23 08:44:02,False,69.0
99,Deutsche Telekom will deploy Ericsson's 5G Radio Access Network (RAN) across Germany including spectrum sharing to… https://t.co/PLftTaHHKi,1286220006699814912,Ericsson Press,22599645,2869,27601,,Stockholm,6,4,2020-07-23 08:42:01,False,6117.0
100,@EricssonMEA @Tawal_KSA @ericsson Well done #TeamEricsson,1286219864999440385,Ibrahim Katib,308979030,61,52,,,0,0,2020-07-23 08:41:27,False,369.0
101,Deutsche Telekom's announcement of partnership with Ericsson on 5G RAN just affirms status quo: about 65% of its RA… https://t.co/xWGVLAfrgV,1286219837182750722,Thorsten Benner,218653062,12262,12659,,Berlin,9,3,2020-07-23 08:41:20,True,953.0
102,"RT @EricssonMEA: We just signed an agreement with @Tawal_KSA to reduce carbon footprint in #SaudiArabia!🌿

@Ericsson’s #AI-powered Energy I…",1286219473964404736,Ibrahim Katib,308979030,61,52,,,0,13,2020-07-23 08:39:54,False,369.0
103,Daily AI Roundup: The 5 Coolest Things On Earth Today https://t.co/ZwtNuqT2Me @fuze @Microsoft @UiPath @AWS… https://t.co/L1EMPID1ww,1286219244208873472,AiThority.com,910050092744302592,27513,4666,,"Hawthorne, CA",0,0,2020-07-23 08:38:59,False,443.0
104,Meet the top leaders from the Telecom industry as they discuss the way forward in a post-Covid-19 World at… https://t.co/YiAQHv3nJ3,1286218502496382977,Danish,32361058,38846,5338,,Bharat,8,4,2020-07-23 08:36:02,True,1204.0
